date,name,code,close,volume,momentum_20d,rsi_14,ma_cross_5_20
2026-08-20,TIGER 2차전지소재Fn,462010,8591,494338,-0.0244,47.1,neutral
2026-08-21,TIGER 2차전지소재Fn,462010,8564,566610,-0.0343,46.2,dead
2026-08-24,TIGER 2차전지소재Fn,462010,8668,552919,-0.0593,38.9,dead
2026-08-25,TIGER 2차전지소재Fn,462010,8644,668161,-0.058,50.5,dead
2026-08-26,TIGER 2차전지소재Fn,462010,8485,648141,-0.0535,53.9,dead
2026-08-27,TIGER 2차전지소재Fn,462010,8295,783689,-0.0208,46.4,dead
2026-08-19,KODEX 고배당주,279530,12355,260841,0.0349,49.9,golden
2026-08-20,KODEX 고배당주,279530,12250,237497,-0.0075,41.9,golden
2026-08-21,KODEX 고배당주,279530,12391,279749,0.0172,43.8,neutral
2026-08-24,KODEX 고배당주,279530,12288,242721,0.0033,51.9,neutral
2026-08-25,KODEX 고배당주,279530,12348,388988,0.0077,56.9,dead
2026-08-26,KODEX 고배당주,279530,12352,234726,0.0156,57.4,dead
2026-08-27,KODEX 고배당주,279530,12450,252689,0.0257,49.7,golden
2026-08-19,KODEX 코리아배당성장,211900,21828,164255,0.0178,50.7,golden
2026-08-20,KODEX 코리아배당성장,211900,21607,207017,0.0173,48.5,golden
2026-08-21,KODEX 코리아배당성장,211900,21225,164751,0.0373,44.0,golden
2026-08-24,KODEX 코리아배당성장,211900,21080,176100,0.0087,51.9,golden
2026-08-25,KODEX 코리아배당성장,211900,21046,121530,0.0174,56.0,golden
2026-08-26,KODEX 코리아배당성장,211900,21148,185082,0.0138,60.7,golden
2026-08-27,KODEX 코리아배당성장,211900,20680,237722,-0.0021,59.7,golden
2026-08-19,RISE 고배당,266160,13710,95589,0.0032,47.0,golden
2026-08-20,RISE 고배당,266160,13679,204375,0.0208,51.2,dead
2026-08-21,RISE 고배당,266160,13444,188508,0.0227,42.1,golden
2026-08-24,RISE 고배당,266160,13647,148643,0.0074,43.7,neutral
2026-08-25,RISE 고배당,266160,13365,131350,0.0234,53.8,neutral
2026-08-26,RISE 고배당,266160,13719,153393,0.0071,61.3,golden
2026-08-27,RISE 고배당,266160,13571,146888,0.0285,57.7,neutral
2026-08-19,KODEX 200,069500,47951,6467705,-0.0057,49.6,neutral
2026-08-20,KODEX 200,069500,47271,2196193,0.0407,53.6,golden
2026-08-21,KODEX 200,069500,47818,3790681,0.0369,48.3,golden
2026-08-24,KODEX 200,069500,48104,5180448,0.0681,55.1,golden
2026-08-25,KODEX 200,069500,48626,5607412,0.0365,60.3,neutral
2026-08-26,KODEX 200,069500,49431,4621592,0.0385,51.3,golden
2026-08-27,KODEX 200,069500,49829,4831059,0.0534,53.6,golden
2026-08-19,TIGER 200,102110,47354,1612912,0.0109,56.0,neutral
2026-08-20,TIGER 200,102110,46880,2549312,0.0265,54.2,golden
2026-08-21,TIGER 200,102110,46589,2941809,0.0595,52.0,golden
2026-08-24,TIGER 200,102110,47019,2680158,0.0197,56.2,golden
2026-08-25,TIGER 200,102110,47553,3016461,0.0345,60.3,golden
2026-08-26,TIGER 200,102110,47633,2321943,0.0143,54.4,golden
2026-08-27,TIGER 200,102110,47664,2324931,0.0414,59.6,golden
2026-08-19,KODEX 코스피100,237350,31854,209437,0.0472,46.9,golden
2026-08-20,KODEX 코스피100,237350,31281,197244,0.0092,46.9,neutral
2026-08-21,KODEX 코스피100,237350,31460,267999,0.0596,54.9,golden
2026-08-24,KODEX 코스피100,237350,31417,191251,0.0457,45.4,golden
2026-08-25,KODEX 코스피100,237350,31255,215110,0.0112,48.3,golden
2026-08-26,KODEX 코스피100,237350,30888,166580,0.0484,59.4,neutral
2026-08-27,KODEX 코스피100,237350,30622,148680,0.0457,50.7,golden
2026-08-19,KODEX 코스닥150,229200,15925,1344291,0.0468,53.9,golden
2026-08-20,KODEX 코스닥150,229200,15932,2105509,0.0569,53.2,golden
2026-08-21,KODEX 코스닥150,229200,16132,1816885,0.0858,57.0,golden
2026-08-24,KODEX 코스닥150,229200,16238,2763646,0.0441,58.1,golden
2026-08-25,KODEX 코스닥150,229200,16306,2270472,0.0675,67.8,golden
2026-08-26,KODEX 코스닥150,229200,16148,2130512,0.0309,67.0,golden
2026-08-27,KODEX 코스닥150,229200,16049,2354861,0.0439,62.0,golden
2026-08-19,TIGER 코스닥150,232080,15601,422122,0.0515,56.3,golden
2026-08-20,TIGER 코스닥150,232080,15653,888882,0.0521,46.3,golden
2026-08-21,TIGER 코스닥150,232080,15734,1178011,0.0403,44.0,golden
2026-08-24,TIGER 코스닥150,232080,15689,1075356,0.0422,62.3,golden
2026-08-25,TIGER 코스닥150,232080,16039,956958,0.0798,52.6,golden
2026-08-26,TIGER 코스닥150,232080,15728,1100337,0.0511,46.9,golden
2026-08-27,TIGER 코스닥150,232080,15901,870503,0.0513,49.0,neutral
2026-08-19,TIGER 미국S&P500,360750,22927,4018623,0.0561,52.9,golden
2026-08-20,TIGER 미국S&P500,360750,22632,4216595,0.0389,56.2,golden
2026-08-21,TIGER 미국S&P500,360750,22747,3697894,0.087,52.4,golden
2026-08-24,TIGER 미국S&P500,360750,22511,3791763,0.0506,49.8,golden
2026-08-25,TIGER 미국S&P500,360750,22531,5128056,0.0979,61.6,golden
2026-08-26,TIGER 미국S&P500,360750,22748,4655803,0.0837,53.2,golden
2026-08-27,TIGER 미국S&P500,360750,22552,3352715,0.1188,61.3,golden
2026-08-19,KODEX 미국S&P500,379800,19096,1581479,0.0552,58.9,golden
2026-08-20,KODEX 미국S&P500,379800,19032,1283406,0.098,59.8,golden
2026-08-21,KODEX 미국S&P500,379800,19455,1239837,0.0477,60.6,golden
2026-08-24,KODEX 미국S&P500,379800,19452,1300430,0.0897,59.1,neutral
2026-08-25,KODEX 미국S&P500,379800,19033,1427189,0.0708,62.8,golden
2026-08-26,KODEX 미국S&P500,379800,19459,1612228,0.0869,58.9,golden
2026-08-27,KODEX 미국S&P500,379800,19724,1647830,0.1066,61.5,golden
2026-08-19,TIGER 미국나스닥100,133690,133915,708056,0.1017,66.3,golden
2026-08-20,TIGER 미국나스닥100,133690,134485,651665,0.0798,54.5,golden
2026-08-21,TIGER 미국나스닥100,133690,133841,857006,0.0637,66.6,golden
2026-08-24,TIGER 미국나스닥100,133690,134031,724692,0.0629,71.4,golden
2026-08-25,TIGER 미국나스닥100,133690,134195,587147,0.0795,66.0,golden
2026-08-26,TIGER 미국나스닥100,133690,132705,913719,0.0896,55.4,golden
2026-08-27,TIGER 미국나스닥100,133690,133261,450156,0.0927,59.5,golden
2026-08-19,KODEX 국고채10년액티브,471230,53149,129169,-0.0132,43.4,dead
2026-08-20,KODEX 국고채10년액티브,471230,53787,133077,-0.0343,49.8,golden
2026-08-21,KODEX 국고채10년액티브,471230,54168,149292,0.0224,44.0,golden
2026-08-24,KODEX 국고채10년액티브,471230,53202,100652,-0.0122,55.0,neutral
2026-08-25,KODEX 국고채10년액티브,471230,54158,142314,-0.0097,42.8,neutral
2026-08-26,KODEX 국고채10년액티브,471230,53924,117545,0.007,47.1,dead
2026-08-27,KODEX 국고채10년액티브,471230,54247,121017,-0.0076,50.1,golden
2026-08-19,TIGER 미국채10년선물,305080,11104,387777,0.0152,47.9,golden
2026-08-20,TIGER 미국채10년선물,305080,11005,416602,0.0416,51.6,golden
2026-08-21,TIGER 미국채10년선물,305080,10821,418347,-0.0296,56.3,golden
2026-08-24,TIGER 미국채10년선물,305080,11007,262019,0.0329,46.3,golden
2026-08-25,TIGER 미국채10년선물,305080,11172,366878,0.014,49.0,golden
2026-08-26,TIGER 미국채10년선물,305080,11072,394977,0.0332,47.2,dead
2026-08-27,TIGER 미국채10년선물,305080,11227,378905,0.0344,45.1,neutral
2026-08-19,KODEX 미국채10년선물,308620,11264,170694,-0.0276,39.8,neutral
2026-08-20,KODEX 미국채10년선물,308620,11498,254874,-0.0179,55.5,neutral
2026-08-21,KODEX 미국채10년선물,308620,11473,303068,0.0236,48.2,dead
2026-08-24,KODEX 미국채10년선물,308620,11457,316940,-0.0123,53.2,golden
2026-08-25,KODEX 미국채10년선물,308620,11327,203033,-0.0192,51.2,golden
2026-08-26,KODEX 미국채10년선물,308620,11369,248905,0.0027,61.4,golden
2026-08-27,KODEX 미국채10년선물,308620,11410,303028,0.0387,54.8,dead
